"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o18322732","2017-10-28","10:20","10 am count","","0","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18321915","2017-10-27","20:11","","","19","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18321220","2017-10-27","18:16","","","23","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18317289","2017-10-27","14:10","","45","45","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18314852","2017-10-27","11:59","","","109","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18312746","2017-10-27","10:01","","","52","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18311835","2017-10-27","08:21","","","17","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18311006","2017-10-27","00:07","","","35","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18310520","2017-10-26","22:10","","","89","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18309385","2017-10-26","20:06","","","135","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18307595","2017-10-26","18:08","","","103","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18305023","2017-10-26","16:05","","","158","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18301702","2017-10-26","13:53","","","138","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18298852","2017-10-26","11:59","","","177","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18296483","2017-10-26","10:01","","","75","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18295303","2017-10-26","08:03","","","3","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18294486","2017-10-26","00:14","","","64","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18293664","2017-10-25","22:11","","","133","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18292205","2017-10-25","20:14","","","110","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18289407","2017-10-25","17:52","","","98","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18287263","2017-10-25","16:23","","","149","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18283353","2017-10-25","14:06","","","143","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18280146","2017-10-25","12:11","","","120","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18277156","2017-10-25","09:52","","","68","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18276234","2017-10-25","08:20","","","7","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18275292","2017-10-24","23:57","","","36","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18274700","2017-10-24","22:12","","","98","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18272770","2017-10-24","19:57","","","112","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18270627","2017-10-24","17:58","","","80","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18264415","2017-10-24","13:59","","","164","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18260798","2017-10-24","11:49","","","127","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18258496","2017-10-24","10:06","","","102","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18257288","2017-10-24","08:13","","","6","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18256205","2017-10-24","00:05","","","48<br />","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18255442","2017-10-23","22:14","","105","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18253705","2017-10-23","20:09","","","137","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18251257","2017-10-23","18:01","","70","70","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18248543","2017-10-23","16:14","165","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18244595","2017-10-23","14:00","","","149","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18241223","2017-10-23","12:00","","","146","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18238250","2017-10-23","10:01","","","87","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18236866","2017-10-23","08:14","","","2","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
