"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o16379276","2017-06-29","08:00","","","967477","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16334718","2017-06-27","06:50","","","965676","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16234457","2017-06-26","06:55","","","964911","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16232616","2017-06-25","11:21","","","964563","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16224128","2017-06-23","06:51","","","964058","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16149363","2017-06-22","06:46","","","963408","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16139030","2017-06-21","06:55","","","962630","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16128037","2017-06-20","06:57","","","961902","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16116439","2017-06-19","06:49","","","961244<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16106572","2017-06-16","06:43","","","960725","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16097579","2017-06-15","07:06","","","959952","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16087703","2017-06-14","06:52","","","959218","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16077426","2017-06-13","06:46","","","958542","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16066613","2017-06-12","07:47","","","957777","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16064882","2017-06-11","12:22","","","A003588<br />
P957447","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16057021","2017-06-09","07:43","","","957078","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16020690","2017-06-08","07:40","","","956565","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16011706","2017-06-07","07:43","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16011705","2017-06-07","07:43","","","955928","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o16002363","2017-06-06","08:01","","","955356","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15992008","2017-06-05","06:37","","","954784","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15989669","2017-06-04","11:51","","","P954593<br />
A003563","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15982123","2017-06-02","07:45","","","954121","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15973698","2017-06-01","06:48","","","953561<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15920208","2017-05-31","06:43","","","950153","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15813461","2017-05-30","08:24","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15813460","2017-05-30","08:24","","","949597","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15802239","2017-05-26","08:40","","","949286","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15794224","2017-05-25","06:44","","","949260","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15786263","2017-05-24","06:30","","","948682","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15778100","2017-05-23","06:45","","","948217","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15754527","2017-05-22","06:50","","","947821","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15745341","2017-05-19","07:27","","","945276<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15737835","2017-05-18","07:58","","","938914","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15737786","2017-05-18","06:39","","","system fail","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15728352","2017-05-17","06:55","","","933760<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15705229","2017-05-15","06:46","","","917691","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15702560","2017-05-14","11:20","","","911494","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15694405","2017-05-12","06:42","","","904112","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15684415","2017-05-11","06:42","","","898078","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15671322","2017-05-10","07:13","","","893140","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15659162","2017-05-09","06:55","","","883783","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15639136","2017-05-07","11:28","","","874701","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15636258","2017-05-06","09:50","","","P872017","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15600013","2017-05-05","06:41","","","867500<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15587927","2017-05-04","06:49","","","860582","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15573110","2017-05-03","06:47","","","853250","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15542056","2017-05-01","06:44","","","834739","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15536157","2017-04-30","11:17","","","836403","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15532964","2017-04-29","09:53","","","P834915","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15524066","2017-04-28","06:47","","","832123","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15509138","2017-04-27","06:48","","","825523","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15493245","2017-04-26","06:58","","","819274","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15477762","2017-04-25","06:47","","","813223","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15462771","2017-04-24","07:37","","","806311","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15456647","2017-04-23","11:13","","","802827","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15453259","2017-04-22","09:43","","","P800762<br />
A002870","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15444113","2017-04-21","07:45","","","p797293","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15434827","2017-04-20","12:58","","","p791820","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15415039","2017-04-19","08:31","","","785409","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15395289","2017-04-18","08:12","","","A002775<br />
P779978","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15370891","2017-04-16","11:13","","","771537","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15368108","2017-04-15","10:27","","","770547","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15351072","2017-04-14","07:53","","","767437","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15338432","2017-04-13","06:55","","","761192","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15307337","2017-04-11","07:08","","","751390","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15291184","2017-04-10","06:55","","","747198","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15285592","2017-04-09","11:14","","","744975","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15278874","2017-04-08","09:31","","","743528","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15267953","2017-04-07","06:54","","","740296","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15247901","2017-04-06","06:56","","","739413","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15229230","2017-04-05","06:56","","","728724","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15208542","2017-04-04","06:48","","","723073","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15188088","2017-04-03","06:53","","","716915","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15180553","2017-04-02","11:30","","","713870","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15176117","2017-04-01","09:48","","","A002408<br />
P712177","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15164249","2017-03-31","06:43","","","709435","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15146096","2017-03-30","06:52","","","703514","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15126556","2017-03-29","06:50","","","697732","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15104520","2017-03-28","06:50","","","692680","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15082453","2017-03-27","06:50","","","686882","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15074436","2017-03-26","11:00","","","685623","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15059272","2017-03-24","08:03","","","A002297<br />
P685295","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15041331","2017-03-23","09:11","","","A002292<br />
P684850","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o15018692","2017-03-22","08:22","","","684356","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14996885","2017-03-21","07:58","","","683950","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14974494","2017-03-20","07:58","","","683384","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14963343","2017-03-18","09:53","","","A002269<br />
P683132","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14952957","2017-03-17","08:00","","","680654","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14943013","2017-03-16","13:07","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14937573","2017-03-16","08:30","","","P674855","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14929697","2017-03-15","10:25","","","672205","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14776224","2017-03-13","06:32","","","665798","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14770668","2017-03-12","11:09","","","662613","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14767052","2017-03-11","10:10","","","A002172<br />
P661060","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14754578","2017-03-10","06:37","","","657656","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14735092","2017-03-09","06:41","","","651586","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14713735","2017-03-08","06:57","","","645155","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14691192","2017-03-07","07:02","","","639712<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14668941","2017-03-06","06:53","","","633652","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14660820","2017-03-05","11:01","","","630309","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14656600","2017-03-04","09:51","","","A002075<br />
P629814","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14643068","2017-03-03","06:50","","","625739<br />
","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14622301","2017-03-02","06:45","","","619564","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14601048","2017-03-01","07:15","","","613823","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14575653","2017-02-28","06:58","","","607764","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14549046","2017-02-27","06:47","","","601296","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14540138","2017-02-26","11:12","","","597544","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14535796","2017-02-25","09:45","","","A001980<br />
P585882","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14503696","2017-02-23","07:41","","","586531","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14482712","2017-02-22","09:16","","","580137","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14456006","2017-02-21","07:39","","","574594","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14436824","2017-02-20","08:01","","","571324","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14427851","2017-02-19","11:04","","","570360","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14423828","2017-02-18","09:49","","","A001905<br />
P569682","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14387333","2017-02-17","06:43","","","566997","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14367557","2017-02-16","06:57","","","561119","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14346666","2017-02-15","06:42","","","555585","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14327053","2017-02-14","07:03","","","551357","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14304836","2017-02-13","06:41","","","545323","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14292717","2017-02-11","09:45","","","P543984<br />
A001820","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14280491","2017-02-10","08:14","","","54966","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14263178","2017-02-09","07:27","","","539937","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14240175","2017-02-08","06:49","","","535477","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14219439","2017-02-07","06:43","","","531013","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14197022","2017-02-06","08:04","","","525768","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14190129","2017-02-05","11:12","","","523713<br />
","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14188862","2017-02-04","18:09","","","54","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14185544","2017-02-04","09:46","","","P522519<br />
A001743","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14171711","2017-02-03","07:52","","","519610","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14151325","2017-02-02","08:14","","","515121","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14128634","2017-02-01","06:50","","","510560","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14106247","2017-01-31","06:56","","","506443","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14082940","2017-01-30","08:00","","","501434","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14075453","2017-01-29","11:40","","","498943","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14070063","2017-01-28","10:02","","","A001667<br />
P497964","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14056211","2017-01-27","06:49","","","495414","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14037122","2017-01-26","06:47","","","491098","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o14013208","2017-01-25","06:53","","","487450","","Circulation Student","Gate Count","blank","blank","blank","blank"
